no.,listed as,book,author,edition,year
146,Mr. Sanby,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
147,Mrs. Smith,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
148,Mr. Simpson,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
149,Mr. Shee,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
150,Mr. Towne,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
151,Mr. Thompson,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
152,Mr. Thomas ,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
153,Mr. Taite,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
154,Mr. Thornton,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
155,Mr. Tarry,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
156,Mr. Thomas,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
157,Mr. Taffier,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
158,Mr. Winter,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
159,Mr. Walker,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
160,Mr. Warborn,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
161,Mr. Woodfall,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
162,Mr. Williams,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
163,Mr. Wood,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
164,Mr. And Miss Wesley,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
165,Mr. William Hall,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
