no.,listed as,book,author,edition,year
168,Right Rev. Lord Bishop of Chester,Letters,"Sancho, Ignatius",1,1782
169,Lord Craven,Letters,"Sancho, Ignatius",1,1782
170,Lord Courtown,Letters,"Sancho, Ignatius",1,1782
171,Lady Courtown,Letters,"Sancho, Ignatius",1,1782
172,Lord George Cavendish,Letters,"Sancho, Ignatius",1,1782
173,Lady George Cavendish,Letters,"Sancho, Ignatius",1,1782
174,Viscountess Chewton,Letters,"Sancho, Ignatius",1,1782
175,Lady Lousia Conolly,Letters,"Sancho, Ignatius",1,1782
176,Mr. Conolly,Letters,"Sancho, Ignatius",1,1782
177,Right Honourable Frederic Carteret,Letters,"Sancho, Ignatius",1,1782
178,Honourable Mrs. Cornwallis,Letters,"Sancho, Ignatius",1,1782
179,Honourable Mr. Clifford,Letters,"Sancho, Ignatius",1,1782
180,Honourable Richard Chetwynd,Letters,"Sancho, Ignatius",1,1782
181,"Sir Grey Cooper, Bart.",Letters,"Sancho, Ignatius",1,1782
182,Lady Cave,Letters,"Sancho, Ignatius",1,1782
183,"John Clementson, Esq.",Letters,"Sancho, Ignatius",1,1782
184,"Thomas Cumings, Esq.",Letters,"Sancho, Ignatius",1,1782
185,Mrs. Cuming,Letters,"Sancho, Ignatius",1,1782
186,"Michael Colling, Esq.",Letters,"Sancho, Ignatius",1,1782
187,Miss Colling,Letters,"Sancho, Ignatius",1,1782
188,"Edmund Coldham, Esq.",Letters,"Sancho, Ignatius",1,1782
189,"James Crane, Esq.",Letters,"Sancho, Ignatius",1,1782
190,Catharine Hall Library,Letters,"Sancho, Ignatius",1,1782
191,"Henry Collett, Esq.",Letters,"Sancho, Ignatius",1,1782
192,"Stratford Cuming, Esq.",Letters,"Sancho, Ignatius",1,1782
193,"Charles Nalson Cole, Esq.",Letters,"Sancho, Ignatius",1,1782
194,"Richard Crop, Esq.",Letters,"Sancho, Ignatius",1,1782
195,"John Charlton, Esq.",Letters,"Sancho, Ignatius",1,1782
196,"James Coldham, jun. Esq.",Letters,"Sancho, Ignatius",1,1782
197,Mrs. Crowley,Letters,"Sancho, Ignatius",1,1782
198,Mrs. Cotton,Letters,"Sancho, Ignatius",1,1782
199,Miss Corrance,Letters,"Sancho, Ignatius",1,1782
200,Mr. Charles Comyns,Letters,"Sancho, Ignatius",1,1782
201,Mr. Coldicott,Letters,"Sancho, Ignatius",1,1782
202,Miss Charron,Letters,"Sancho, Ignatius",1,1782
203,Mrs. Clarke,Letters,"Sancho, Ignatius",1,1782
204,Mr. Chaillot,Letters,"Sancho, Ignatius",1,1782
205,Mr. Cowie,Letters,"Sancho, Ignatius",1,1782
206,Mr. Clode,Letters,"Sancho, Ignatius",1,1782
207,Mr. Clarke,Letters,"Sancho, Ignatius",1,1782
208,Capt. Corbett,Letters,"Sancho, Ignatius",1,1782
209,Mr. Collings,Letters,"Sancho, Ignatius",1,1782
210,Mrs. Chambers,Letters,"Sancho, Ignatius",1,1782
211,Mr. Samuel Cork,Letters,"Sancho, Ignatius",1,1782
212,Mr. Chaplin,Letters,"Sancho, Ignatius",1,1782
213,Mr. John Cooke,Letters,"Sancho, Ignatius",1,1782
214,Rev. Thomas Crick,Letters,"Sancho, Ignatius",1,1782
215,"Daniel Crocket, Esq.",Letters,"Sancho, Ignatius",1,1782
216,Mr. Robert Chullard,Letters,"Sancho, Ignatius",1,1782
217,Mr. Daniel Crockatt,Letters,"Sancho, Ignatius",1,1782
218,Mr. Charles Cross,Letters,"Sancho, Ignatius",1,1782
219,Mr. Richard Cross,Letters,"Sancho, Ignatius",1,1782
220,Mrs. Clarke,Letters,"Sancho, Ignatius",1,1782
221,Mr. C. Crook,Letters,"Sancho, Ignatius",1,1782
