entry_id,source_entry_id,person_id,normalization input,normalized_name,name_order,name_type,title_key,parsed_title,parsed_first,parsed_last,parsed_postnominals,parsed_occupation,parsed_affiliation,parsed_location,parsed_notes,listed as,book,author,edition,year
Equiano-Interesting-3-0060,Equiano-Interesting-3-0060,Equiano-Interesting-3-0060,Alderman Boydell,Alderman Boydell,first-last,personal,,Alderman,,Boydell,,,,,,Alderman Boydell,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0061,Equiano-Interesting-3-0061,Equiano-Interesting-3-0061,Mr. Harris Bottisham,Mr. Harris Bottisham,first-last,personal,,Mr.,Harris,Bottisham,,,,,,Mr. Harris Bottisham,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0062,Equiano-Interesting-3-0062,Equiano-Interesting-3-0062,"---- Brand, Esq.",---- Brand Esq.,first-last,bare,,,----,Brand,Esq,,,,,"---- Brand, Esq.",Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0063,Equiano-Interesting-3-0063,Equiano-Interesting-3-0063,Mr. Martin Brander,Mr. Martin Brander,first-last,personal,,Mr.,Martin,Brander,,,,,,Mr. Martin Brander,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0064,Equiano-Interesting-3-0064,Equiano-Interesting-3-0064,"F. J. Brown, Esq. M. P. 2 copies",F. J. Brown Esq. M. P.,first-last,bare,,,F. J.,Brown,,,,,2 copies,"F. J. Brown, Esq. M. P. 2 copies",Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0065,Equiano-Interesting-3-0065,Equiano-Interesting-3-0065,"W. Buttall, Esq.",W. Buttall Esq.,first-last,bare,,,W.,Buttall,Esq,,,,,"W. Buttall, Esq.",Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0066,Equiano-Interesting-3-0066,Equiano-Interesting-3-0066,"Dr. Brown, Sheffield, 3 copies",Dr. Brown Sheffield,first-last,personal,,Dr.,,Brown,,,,Sheffield,3 copies,"Dr. Brown, Sheffield, 3 copies",Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0067,Equiano-Interesting-3-0067,Equiano-Interesting-3-0067,Mr. Buxton,Mr. Buxton,first-last,personal,,Mr.,,Buxton,,,,,,Mr. Buxton,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0068,Equiano-Interesting-3-0068,Equiano-Interesting-3-0068,Mr. R. L. B.,Mr. R. L. B.,first-last,personal,,Mr.,R. L. B.,,,,,,,Mr. R. L. B.,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0069,Equiano-Interesting-3-0069,Equiano-Interesting-3-0069,"Mr. Thomas Burton, 6 copies",Mr. Thomas Burton,first-last,personal,,Mr.,Thomas,Burton,,,,,6 copies,"Mr. Thomas Burton, 6 copies",Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0070,Equiano-Interesting-3-0070,Equiano-Interesting-3-0070,Mr. W. Button,Mr. W. Button,first-last,personal,,Mr.,W.,Button,,,,,,Mr. W. Button,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0071,Equiano-Interesting-3-0071,Equiano-Interesting-3-0071,Mr. Barton,Mr. Barton,first-last,personal,,Mr.,,Barton,,,,,,Mr. Barton,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0072,Equiano-Interesting-3-0072,Equiano-Interesting-3-0072,"Edward Burch, Esq. R. A.",Edward Burch Esq. R. A.,first-last,bare,,,Edward,Burch,,,,Esq. R. A,,"Edward Burch, Esq. R. A.",Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0073,Equiano-Interesting-3-0073,Equiano-Interesting-3-0073,Mr. Marcus Butcher,Mr. Marcus Butcher,first-last,personal,,Mr.,Marcus,Butcher,,,,,,Mr. Marcus Butcher,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0074,Equiano-Interesting-3-0074,Equiano-Interesting-3-0074,The Right Hon. Lord Cathcart,Right Hon. Lord Cathcart,first-last,titled,lord cathcart,Right Hon. Lord Cathcart,,,,,,,,The Right Hon. Lord Cathcart,Interesting Narrative,"Equiano, Olaudah",3,1790
