title_key,person_name,wikidata_id,start_year,end_year,source
countess of aylesford,,,,,
countess of bathurst,,,,,
countess of carlisle,,,,,
countess of essex,,,,,
countess of fitzwilliam,,,,,
countess of harington,,,,,
countess of harrington,,,,,
countess of jersey,,,,,
countess of pembroke,,,,,
countess of shelburne,,,,,
countess of spencer,,,,,
dean of derry,Godfrey Rhodes,Q108407146,,,wikidata
dean of derry,George Berkeley,Q82049,1724,1733,wikidata
dean of middleham,,,,,
dowager countess of albemarle,,,,,
dowager countess of huntingdon,,,,,
dowager countess of huntington,,,,,
dowager countess of powys,,,,,
dowager duchess of beaufort,,,,,
dowager duchess of chandos,,,,,
dowager duchess of portland,,,,,
dowager viscountess of midleton,,,,,
duchess of bedford,,,,,
duchess of bolton,,,,,
duchess of buccleugh,,,,,
duchess of devonshire,,,,,
duchess of gloucester,"Princess Alice, Duchess of Gloucester",Q246915,1935,,wikidata
duchess of gloucester,"Birgitte, Duchess of Gloucester",Q241584,1974,,wikidata
duchess of grafton,,,,,
duchess of richmond,,,,,
duchess of rutland,,,,,
duchess of st alban's,,,,,
duchess of st. alban's,,,,,
duchess of st. albans,,,,,
duke of bedford,"William Russell, 1st Duke of Bedford",Q1837471,,,wikidata
duke of bedford,"Francis Russell, 5th Duke of Bedford",Q25687,,,wikidata
duke of bedford,"George Russell, 10th Duke of Bedford",Q31177,,,wikidata
duke of bedford,"John Russell, 4th Duke of Bedford",Q335406,,,wikidata
duke of bedford,"John of Lancaster, Duke of Bedford",Q348441,,,wikidata
duke of bedford,"Mary Russell, Duchess of Bedford",Q38118,,,wikidata
duke of bedford,"Hastings Russell, 12th Duke of Bedford",Q38281,,,wikidata
duke of bedford,"Wriothesley Russell, 2nd Duke of Bedford",Q4021064,,,wikidata
duke of bedford,Jacquetta of Luxembourg,Q448289,,,wikidata
duke of bedford,"Wriothesley Russell, 3rd Duke of Bedford",Q6833095,,,wikidata
duke of bedford,"William Russell, 8th Duke of Bedford",Q6834882,,,wikidata
duke of bedford,"George Plantagenet, 1st Duke of Bedford",Q1412715,1478,1479,wikidata
duke of bedford,Jasper Tudor,Q385679,1485,1495,wikidata
duke of bedford,"John Russell, 6th Duke of Bedford",Q25690,1802,1839,wikidata
duke of bedford,"Francis Russell, 7th Duke of Bedford",Q25689,1839,1861,wikidata
duke of bedford,"Francis Russell, 9th Duke of Bedford",Q31178,1872,1891,wikidata
duke of bedford,"Herbrand Russell, 11th Duke of Bedford",Q31291,1893,1940,wikidata
duke of bedford,"Robin Russell, 14th Duke of Bedford",Q6515794,2002,2003,wikidata
duke of bedford,"Andrew Russell, 15th Duke of Bedford",Q4758452,2003,,wikidata
duke of buccleugh,,,,,
duke of cumberland,,,,,
duke of dorset,"John Sackville, 3rd Duke of Dorset",Q1453083,,,wikidata
duke of dorset,"George Sackville, 4th Duke of Dorset",Q5544214,,,wikidata
duke of dorset,"Lionel Sackville, 1st Duke of Dorset",Q337505,1720,1765,wikidata
duke of dorset,"Charles Sackville, 2nd Duke of Dorset",Q5082311,1765,1769,wikidata
duke of grafton,"Augustus FitzRoy, 3rd Duke of Grafton",Q312583,,,wikidata
duke of grafton,"Henry FitzRoy, 5th Duke of Grafton",Q337872,,,wikidata
duke of grafton,"George FitzRoy, 4th Duke of Grafton",Q338013,,,wikidata
duke of grafton,"Henry FitzRoy, 1st Duke of Grafton",Q538459,1675,1690,wikidata
duke of grafton,"Charles FitzRoy, 2nd Duke of Grafton",Q1071465,1683,1757,wikidata
duke of grafton,"Henry FitzRoy, 12th Duke of Grafton",Q6866366,2011,,wikidata
duke of grafton,"Henry FitzRoy, 12th Duke of Grafton",Q6866366,2011,,wikidata
duke of leeds,,,,,
duke of leinster,"William FitzGerald, 2nd Duke of Leinster",Q4020003,,,wikidata
duke of leinster,"Augustus FitzGerald, 3rd Duke of Leinster",Q4821424,,,wikidata
duke of leinster,"Charles FitzGerald, 4th Duke of Leinster",Q5077684,,,wikidata
duke of leinster,"Edward FitzGerald, 7th Duke of Leinster",Q5342918,,,wikidata
duke of leinster,"Gerald FitzGerald, 8th Duke of Leinster",Q5549131,,,wikidata
duke of leinster,"Gerald FitzGerald, 5th Duke of Leinster",Q5549133,,,wikidata
duke of leinster,"Maurice FitzGerald, 6th Duke of Leinster",Q6793093,,,wikidata
duke of leinster,"Maurice FitzGerald, 9th Duke of Leinster",Q6793096,,,wikidata
duke of leinster,"Meinhardt Schomberg, 3rd Duke of Schomberg",Q84922,1691,1719,wikidata
duke of leinster,"James FitzGerald, 1st Duke of Leinster",Q193987,1766,1773,wikidata
duke of marlborough,"John Churchill, 1st Duke of Marlborough",Q153803,,,wikidata
duke of marlborough,"Sarah Churchill, Duchess of Marlborough",Q19176,,,wikidata
duke of marlborough,"George Spencer-Churchill, 5th Duke of Marlborough",Q333347,,,wikidata
duke of marlborough,"John Spencer-Churchill, 7th Duke of Marlborough",Q333355,,,wikidata
duke of marlborough,"George Spencer-Churchill, 6th Duke of Marlborough",Q333601,,,wikidata
duke of marlborough,"John Spencer-Churchill, 10th Duke of Marlborough",Q335808,,,wikidata
duke of marlborough,"George Spencer, 4th Duke of Marlborough",Q335825,,,wikidata
duke of marlborough,"Jane, Duchess of Marlborough",Q34065470,,,wikidata
duke of marlborough,"Charles Spencer, 3rd Duke of Marlborough",Q514460,,,wikidata
duke of marlborough,"George Spencer-Churchill, 8th Duke of Marlborough",Q336025,1840,1892,wikidata
duke of marlborough,"Charles Spencer-Churchill, 9th Duke of Marlborough",Q290107,1892,1934,wikidata
duke of marlborough,Consuelo Vanderbilt,Q265898,1895,1921,wikidata
duke of marlborough,"John Spencer-Churchill, 11th Duke of Marlborough",Q335796,1972,2014,wikidata
duke of marlborough,"James Spencer-Churchill, 12th Duke of Marlborough",Q1065042,2014,,wikidata
duke of marlborough,"Edla Spencer-Churchill, Duchess of Marlborough",Q28407622,2014,,wikidata
duke of montague,,,,,
duke of mountague,,,,,
duke of northumberland,"John Dudley, 1st Duke of Northumberland",Q347125,1551,,wikidata
duke of northumberland,"George FitzRoy, 1st Duke of Northumberland",Q2346374,1683,1716,wikidata
duke of northumberland,"Hugh Percy, 1st Duke of Northumberland",Q2616156,1766,1786,wikidata
duke of northumberland,"Hugh Percy, 2nd Duke of Northumberland",Q335502,1786,1817,wikidata
duke of northumberland,"Hugh Percy, 3rd Duke of Northumberland",Q151352,1817,1847,wikidata
duke of northumberland,"Algernon Percy, 4th Duke of Northumberland",Q1753204,1847,1865,wikidata
duke of northumberland,"George Percy, 5th Duke of Northumberland",Q3760627,1865,1867,wikidata
duke of northumberland,"Algernon Percy, 6th Duke of Northumberland",Q337686,1867,1899,wikidata
duke of northumberland,"Henry Percy, 7th Duke of Northumberland",Q762750,1899,1918,wikidata
duke of northumberland,"Alan Percy, 8th Duke of Northumberland",Q4707520,1918,1930,wikidata
duke of northumberland,"George Percy, 9th Duke of Northumberland",Q5726865,1930,1940,wikidata
