group_id,match,entry_id,person_id,normalized_name,listed as,parsed_title,parsed_first,parsed_last,parsed_postnominals,parsed_occupation,parsed_affiliation,parsed_location,book,edition,year,match_rule,match_tier
cm_1113,,Equiano-Interesting-5-0063,Equiano-Interesting-5-0063,John Delamain Esq.,"John Delemain, Esq;",,John,Delamain,Esq,,,,Interesting Narrative,5,1792,exact_last+exact_first+post,anchor_cross
cm_1113,,Equiano-Interesting-6-0064,Equiano-Interesting-6-0064,John Delamain Esq.,"John Delemain, Esq.",,John,Delamain,Esq,,,,Interesting Narrative,6,1793,exact_last+exact_first+post,anchor_cross
cm_1113,,Equiano-Interesting-7-0065,Equiano-Interesting-7-0065,John Delamain Esq.,"John Delemain, Esq.",,John,Delamain,Esq,,,,Interesting Narrative,7,1793,exact_last+exact_first+post,anchor_cross
cm_1113,,Equiano-Interesting-8-0066,Equiano-Interesting-8-0066,John Delamain Esq.,"John Delemain, Esq.",,John,Delamain,Esq,,,,Interesting Narrative,8,1794,exact_last+exact_first+post,anchor_cross
cm_1113,,Equiano-Interesting-9-0066,Equiano-Interesting-9-0066,John Delamain Esq.,"John Delemain, Esq.",,John,Delamain,Esq,,,,Interesting Narrative,9,1794,exact_last+exact_first+post,anchor_cross
cm_1113,,Sancho-Letters-1-0790,Sancho-Letters-1-0790,John Plampin Esq.,"John Plampin, Esq.",,John,Plampin,Esq,,,,Letters,1,1782,exact_last+exact_first+post,candidate_cross
cm_1114,,Equiano-Interesting-1-0276,Equiano-Interesting-1-0276,John Symmons Esq.,"John Symmons, Esq.",,John,Symmons,Esq,,,,Interesting Narrative,1,1789,exact_last+exact_first+post,anchor_cross
cm_1114,,Equiano-Interesting-2-0348,Equiano-Interesting-2-0348,John Symmons Esq.,"John Symmons, Esq.",,John,Symmons,Esq,,,,Interesting Narrative,2,1789,exact_last+exact_first+post,anchor_cross
cm_1114,,Equiano-Interesting-3-0360,Equiano-Interesting-3-0360,John Symmons Esq.,"John Symmons, Esq.",,John,Symmons,Esq,,,,Interesting Narrative,3,1790,exact_last+exact_first+post,anchor_cross
cm_1114,,Sancho-Letters-1-0923,Sancho-Letters-1-0923,John Symonds Esq.,"John Symonds, Esq.",,John,Symonds,Esq,,,,Letters,1,1782,exact_last+exact_first+post,candidate_cross
cm_1115,,Equiano-Interesting-Am-0053,Equiano-Interesting-Am-0053,John Hamilton,"John Hamilton, do.",,John,Hamilton,,,,ditto,Interesting Narrative,Am,1791,fuzzy_last_3+exact_first,candidate_cross
cm_1115,,Sancho-Letters-1-0195,Sancho-Letters-1-0195,John Charlton Esq.,"John Charlton, Esq.",,John,Charlton,Esq,,,,Letters,1,1782,fuzzy_last_3+exact_first,candidate_cross
cm_1116,,Equiano-Interesting-3-0395,Equiano-Interesting-3-0395,Rev. James Wilkinson Sheffield,"Reverend James Wilkinson, Sheffield, 3 copies",Rev.,James,Wilkinson,,,,Sheffield,Interesting Narrative,3,1790,exact_last+exact_first+loc,anchor_cross
cm_1116,,Equiano-Interesting-4-0366,Equiano-Interesting-4-0366,Rev. James Wilkinson Sheffield,"Reverend James Wilkinson, Sheffield, 3 copies",Rev.,James,Wilkinson,,,,Sheffield,Interesting Narrative,4,1791,exact_last+exact_first+loc,anchor_cross
cm_1116,,Equiano-Interesting-5-0196,Equiano-Interesting-5-0196,Rev. James Wilkinson Sheffield,"Rev. James Wilkinson, Sheffield",Rev.,James,Wilkinson,,,,Sheffield,Interesting Narrative,5,1792,exact_last+exact_first+loc,anchor_cross
cm_1116,,Equiano-Interesting-6-0210,Equiano-Interesting-6-0210,Rev. James Wilkinson Sheffield,"Rev. James Wilkinson, Sheffield",Rev.,James,Wilkinson,,,,Sheffield,Interesting Narrative,6,1793,exact_last+exact_first+loc,anchor_cross
cm_1116,,Equiano-Interesting-7-0215,Equiano-Interesting-7-0215,Rev. James Wilkinson of Sheffield,"Rev. James Winkinson, of Sheffield",Rev.,James,Wilkinson,,,,Sheffield,Interesting Narrative,7,1793,exact_last+exact_first+loc,anchor_cross
cm_1116,,Equiano-Interesting-8-0221,Equiano-Interesting-8-0221,Rev. James Wilkinson of Sheffield,"Rev. James Wilkinson, of Sheffield",Rev.,James,Wilkinson,,,,Sheffield,Interesting Narrative,8,1794,exact_last+exact_first+loc,anchor_cross
cm_1116,,Equiano-Interesting-9-0221,Equiano-Interesting-9-0221,Rev. James Wilkinson of Sheffield,"Rev. James Wilkinson, of Sheffield",Rev.,James,Wilkinson,,,,Sheffield,Interesting Narrative,9,1794,exact_last+exact_first+loc,anchor_cross
cm_1116,,Sancho-Letters-1-0303,Sancho-Letters-1-0303,Rev. Mr. Dickinson,Rev. Mr. Dickinson,Rev. Mr.,,Dickinson,,,,,Letters,1,1782,exact_last+exact_first+loc,candidate_cross
cm_1117,,Equiano-Interesting-5-0392,Equiano-Interesting-5-0392,John Pattison Esq. of Glasgow,"John Pattison, Esq; of Glasgow",,John,Pattison,Esq,,,Glasgow,Interesting Narrative,5,1792,exact_last+exact_first+loc,anchor_cross
cm_1117,,Equiano-Interesting-6-0665,Equiano-Interesting-6-0665,John Pattison Esq. of Glasgow,"John Pattison, Esq. of Glasgow",,John,Pattison,,,,Glasgow,Interesting Narrative,6,1793,exact_last+exact_first+loc,anchor_cross
cm_1117,,Equiano-Interesting-7-0680,Equiano-Interesting-7-0680,John Pattison Esq. of Glasgow,"John Pattison, Esq. of Glasgow",,John,Pattison,,,,Glasgow,Interesting Narrative,7,1793,exact_last+exact_first+loc,anchor_cross
cm_1117,,Equiano-Interesting-9-0862,Equiano-Interesting-9-0862,John Pattison Esq. of Glasgow,"John Pattison, esq. of Glasgow",,John,Pattison,,,,Glasgow,Interesting Narrative,9,1794,exact_last+exact_first+loc,anchor_cross
cm_1117,,Equiano-Interesting-Am-0052,Equiano-Interesting-Am-0052,John Harrison printer N. Y.,"John Harrison, printer, N. Y.",,John,Harrison,N. Y,printer,,,Interesting Narrative,Am,1791,exact_last+exact_first+loc,anchor_cross
cm_1117,,Sancho-Letters-1-0651,Sancho-Letters-1-0651,John Maddison Esq.,"John Maddison, Esq.",,John,Maddison,Esq,,,,Letters,1,1782,exact_last+exact_first+loc,candidate_cross
cm_1118,,Equiano-Interesting-6-0357,Equiano-Interesting-6-0357,John Melling Esq.,"John Melling, Esq.",,John,Melling,Esq,,,,Interesting Narrative,6,1793,exact_last+exact_first+post,anchor_cross
cm_1118,,Equiano-Interesting-7-0327,Equiano-Interesting-7-0327,John Melling Esq.,"John Melling, Esq.",,John,Melling,Esq,,,,Interesting Narrative,7,1793,exact_last+exact_first+post,anchor_cross
cm_1118,,Equiano-Interesting-8-0332,Equiano-Interesting-8-0332,John Melling Esq.,"John Melling, Esq.",,John,Melling,Esq,,,,Interesting Narrative,8,1794,exact_last+exact_first+post,anchor_cross
cm_1118,,Equiano-Interesting-9-0333,Equiano-Interesting-9-0333,John Melling Esq.,"John Melling, Esq.",,John,Melling,Esq,,,,Interesting Narrative,9,1794,exact_last+exact_first+post,anchor_cross
cm_1118,,Sancho-Letters-1-0730,Sancho-Letters-1-0730,John Newling Esq.,"John Newling, Esq.",,John,Newling,Esq,,,,Letters,1,1782,exact_last+exact_first+post,candidate_cross
